accuracy,failures,budget
0.865328717787337,11,50
0.8746411131080452,10,50
0.8287472609957718,16,50
0.8041513955128741,18,50
0.8646224176807369,13,50
0.8452084460663547,13,50
0.8677428351286379,12,50
0.9137086759530962,8,50
0.876498283771118,9,50
0.9400500257478266,6,50
0.9176541178762788,8,50
0.95442310774102,4,50
0.9186659802985928,6,50
0.890214039130604,10,50
0.8625787001611116,12,50
0.938473199308043,5,50
0.8506946663359091,13,50
0.9027617683345024,10,50
0.8525570361155568,11,50
0.9394876632931846,5,50
0.9030477176354288,10,50
0.8336505894531832,12,50
0.941335033187796,5,50
0.9165216125259156,7,50
0.8638159412049136,11,50
0.8997213891485836,9,50
0.9227101683157894,8,50
0.8851924257442177,10,50
0.9220429064462308,6,50
0.9022359401144714,8,50
0.902697704668592,17,100
0.8717343812273429,23,100
0.8914447407900564,20,100
0.8300731910451393,28,100
0.902028559937716,17,100
0.9057314856277872,18,100
0.90085533808932,18,100
0.8707561280105407,25,100
0.8979874113302645,17,100
0.8830987075980007,21,100
0.9282527283483064,15,100
0.9196253407943332,14,100
0.8569762656604873,26,100
0.8759764874730209,21,100
0.9375716735475614,12,100
0.8818853418163738,22,100
0.8990504245181519,16,100
0.9008184558687548,18,100
0.9074159032965032,15,100
0.8924246028349508,17,100
0.9022518969073086,19,100
0.9230565442092884,16,100
0.8927972055530687,19,100
0.8940118296496378,16,100
0.9262813836367908,13,100
0.9084944904567298,17,100
0.8408174320127402,25,100
0.875890327730777,22,100
0.8765340418187099,22,100
0.8959763619860293,18,100
0.863432732960085,50,200
0.88963243031598,40,200
0.885001712376729,38,200
0.9046605702720264,33,200
0.8941015159730953,37,200
0.896180622384245,34,200
0.8745833188992325,44,200
0.9018951356061484,37,200
0.9108366366503198,34,200
0.8930031100605442,35,200
0.89015695907298,36,200
0.8610302296798178,44,200
0.8843016489381981,36,200
0.9181425711034976,29,200
0.8707799907718468,42,200
0.8883123810593663,41,200
0.8516630632826538,47,200
0.9045633250828132,36,200
0.91994603328933,33,200
0.8919867489643949,33,200
0.8485695172917702,53,200
0.8972094360214815,37,200
0.8928495531847137,38,200
0.9191758957528028,30,200
0.8714441052400537,40,200
0.8848306299384465,38,200
0.8715772745107981,44,200
0.9054160337064664,32,200
0.8678661659280651,45,200
0.9176427451317204,29,200
0.902189651126162,66,400
0.888722696889943,72,400
0.9012437374254092,69,400
0.8854302812825846,83,400
0.9038718522405632,66,400
0.8841796102691959,86,400
0.8728419199873246,82,400
0.9123467582821656,62,400
0.8924131367296091,72,400
0.8688377048870315,94,400
0.8852272556033984,77,400
0.912808660820122,61,400
0.8892975189646589,80,400
0.898867300896135,68,400
0.9000180681017769,71,400
0.886565897268054,79,400
0.8729790269033999,84,400
0.9006733285198165,71,400
0.8659260495191472,85,400
0.8729809452857866,88,400
0.8689463998399083,91,400
0.8952570777204095,71,400
0.890960960856513,75,400
0.8811247249704792,80,400
0.8823561322932314,76,400
0.8994080774046718,65,400
0.8800304670413943,77,400
0.888595810467401,75,400
0.903152871193238,67,400
0.9064535926408966,66,400
0.8771793004143722,161,800
0.8847709093535726,164,800
0.8998266571935863,140,800
0.8831388566092865,163,800
0.8935199899114029,142,800
0.8795427839182695,149,800
0.8890032670873218,146,800
0.8763789483650993,166,800
0.8868655134258915,156,800
0.8861179379814248,157,800
0.8826698568510671,169,800
0.8874877525652352,148,800
0.9028337658485216,147,800
0.8816379911613733,165,800
0.896887227992449,144,800
0.8898760430464417,145,800
0.8876335773692184,155,800
0.8915214797988762,156,800
0.8931814162375714,146,800
0.8821586056521944,156,800
0.8785039318500215,167,800
0.8797025860125915,164,800
0.8865199338384526,155,800
0.8811620781980711,147,800
0.8941135618682984,145,800
0.8838900993255162,161,800
0.8864297651578894,151,800
0.8943229172685412,145,800
0.8803601162146178,154,800
0.8866881348565213,153,800
