accuracy,failures
1.0,0
0.9827683549824178,3
1.0,4
1.0,0
0.994148056649524,1
1.0,0
0.9889905235422392,2
0.9911596519244651,2
0.9950400916365678,1
0.9818026293152403,3
0.9812326684055481,3
0.9824104499245353,3
1.0,0
0.9947866097750951,1
0.9903875566408554,1
1.0,0
0.993944715293419,1
0.9959734402448348,1
0.9747959316183015,4
0.9899007874246145,2
0.9931376261196675,1
0.9762796046370885,4
1.0,0
1.0,0
0.9738855895233457,4
0.9794608341884408,3
1.0,0
0.9887369042509656,2
0.9910568499952435,2
0.9845644321834196,3
