accuracy,failures
0.9921936685867991,7
0.9965821335678088,3
0.989010989010989,9
0.9960427372237711,4
0.9978021978021978,2
0.9944017707386252,5
0.9942713596001519,5
0.9931846548838471,6
0.9965973699133028,3
0.9960430978367859,4
0.9944023257857412,5
0.9967032967032967,3
0.9925465998029952,6
0.9967032967032967,3
0.9989010989010989,1
0.9956043956043956,4
0.995489938966238,4
0.9932925517320337,6
0.992500512565653,6
0.993287151962958,6
0.9978021978021978,2
0.9942792643631503,5
0.9956043956043956,4
0.9900010608379413,9
0.9899968053225924,9
0.9918679790373488,6
0.9959405667002154,3
0.9972527472527473,3
0.993956043956044,6
0.9977096171450489,2
