accuracy,failures
0.9918068806534521,3
0.9967132160862858,1
0.9910115383686566,3
0.9967230399655655,1
0.996756305766304,1
0.9944196369556331,2
0.9941162233603896,2
0.9976601704345288,1
0.9948725435184638,2
1.0,0
1.0,0
1.0,0
1.0,0
0.9968418597817806,1
1.0,0
0.9937429031411886,2
0.9968317082226601,1
0.9942275592434925,2
0.996746567275833,1
0.9971296337202493,1
0.9949229515163739,2
0.997659810193165,1
1.0,0
0.9945274403587452,2
0.9967195946447142,1
0.9946397040368161,2
1.0,0
0.9952152504321264,2
0.9948615402224935,2
0.9971893905882012,1
