accuracy,failures
0.997516472915166,2
0.9973581087503408,2
0.9957281440467014,3
0.9986351373786102,1
0.9943725036728699,4
0.9973398430348847,2
0.9971746123097059,2
0.9986715119427123,1
0.9959086546245403,3
0.9986766188459043,1
0.99481836303316,4
0.9960007226381802,3
0.992498354666934,5
0.9974131581186346,2
0.9987187967572047,1
1.0,0
0.9987739376120771,1
1.0,0
0.9973227624226484,2
0.9972611754141406,2
0.9986059681611823,1
0.9959588150034885,3
1.0,0
0.9893606649503078,8
0.998683487644623,1
0.9986758236487338,1
0.9985743892118393,1
0.9942805141031317,4
0.9985095942886906,1
0.9986744451739795,1
