accuracy,failures
0.8849940057198282,42
0.8827543471336945,45
0.9200591431126098,32
0.8844505428376858,38
0.8789802746639718,45
0.8462884824552032,42
0.9073394325787251,32
0.8952819988200652,41
0.8583229403920631,45
0.911076276786371,33
0.8832297980911363,42
0.9092529935212038,36
0.8871067655217805,42
0.9080727283572263,35
0.8796029563310982,38
0.8592522870425365,51
0.891721568567415,38
0.8834242365316756,43
0.8708747890106797,45
0.880788005035014,44
0.9070818047145093,32
0.8889483508725768,37
0.8875471371280781,41
0.9071699662101623,33
0.8989118767513247,38
0.872704782536363,48
0.9004892979678123,37
0.9404944429631524,24
0.8984401604877782,38
0.9030162059930367,37
