accuracy,failures
0.8888079037483415,9
0.9005032207561781,10
0.9535330746341798,4
0.8618164441278728,11
0.9414087652208737,5
0.8599544647994228,13
0.9394699615306531,7
0.9179957749620814,9
0.8155986789783102,16
0.89648840119375,9
0.8272966086593481,15
0.8947584507094349,8
0.8938710658263265,11
0.8941236335753403,8
0.8644198043841322,9
0.8930665076260614,8
0.7980953817400243,16
0.9301938037871874,8
0.9073702022546215,8
0.9594689452873122,4
0.9001431760318712,10
0.8520738686038465,13
0.9165316206453424,6
0.9206310104900999,7
0.9282172327983447,7
0.8137096987271959,14
0.9040768655793658,8
0.8511620334108945,13
0.9035745056568554,7
0.932289620682495,6
