accuracy,failures
0.863432732960085,50
0.88963243031598,40
0.885001712376729,38
0.9046605702720265,33
0.8941015159730953,37
0.896180622384245,34
0.8745833188992325,44
0.9018951356061484,37
0.9108366366503198,34
0.8930031100605442,35
0.89015695907298,36
0.8610302296798178,44
0.8843016489381981,36
0.9181425711034976,29
0.8707799907718468,42
0.8883123810593663,41
0.8516630632826538,47
0.9045633250828131,36
0.9199460332893299,33
0.8919867489643949,33
0.8485695172917702,53
0.8972094360214815,37
0.8928495531847137,38
0.9191758957528029,30
0.8714441052400537,40
0.8848306299384465,38
0.8715772745107981,44
0.9054160337064663,32
0.8678661659280651,45
0.9176427451317203,29
