accuracy,failures
0.87577405795196,9
0.8598349931761285,13
0.9266924573019678,7
0.9473633906965113,5
0.8978148062946287,9
0.9177213903953806,8
0.9112734364944801,9
0.9352712197922801,6
0.8295610516269625,9
0.899126165350447,10
0.9565787547805313,4
0.9459563395043122,5
0.8964425205253677,9
0.9558038633729803,4
0.8831846312000071,12
0.9014198343642559,9
0.9002933143637718,9
0.9453174970731689,5
0.9088076438679912,9
0.8905078652564244,8
0.9089651971322141,9
0.9383456354971554,6
0.873446046517136,12
0.8962408256999159,10
0.8905567408866341,10
0.9314274053309106,7
0.8859557210838225,10
0.936603492427404,6
0.8793689355843461,9
0.908778413604343,7
