accuracy,failures
0.9523536204270615,7
0.9306232743633511,8
0.9342173545670206,8
0.9525464534094541,7
0.8208228046109822,11
0.8808428059933916,15
0.9258948920715694,7
0.9463090785874945,6
0.9153466125455161,10
0.8619202129360672,12
0.9130501456948146,8
0.9425004117629817,6
0.9332158001969042,7
0.8680271708117347,13
0.9445752808851825,7
0.9341644264582645,7
0.8836914436597811,14
0.9377155824163673,7
0.9185423132182601,8
0.9257614899028994,9
0.9350651830562565,8
0.9117074798080067,10
0.8874050603953328,14
0.9421527047307945,8
0.8843380136747854,13
0.9324088978975693,8
0.8925400121275777,9
0.929028395572477,8
0.9427473354277485,8
0.9343975252474889,6
