mse,ep1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10
0.09032655450647757,297,207,133,64,33,20,11,5,3,2
0.10218303793849376,318,225,152,82,45,20,8,2,1,1
0.10184820724599594,307,228,149,76,32,18,12,7,3,2
0.09719022764462192,303,214,131,73,37,22,14,10,2,0
0.09407811640402204,293,199,132,79,41,16,7,4,3,2
0.10813112096482973,311,234,173,79,47,19,9,3,2,1
0.08793226109685114,283,204,130,65,32,16,7,2,2,2
0.08741457877056347,299,215,143,66,34,14,7,1,0,0
0.10385725755627354,304,210,144,76,43,24,11,6,3,2
0.09986398910891899,299,214,137,69,45,23,13,8,3,0
0.09329967859347711,309,218,134,70,35,14,8,4,2,1
0.09839174652526929,288,203,136,83,44,23,10,5,3,2
0.10160184462619509,291,216,137,74,43,22,13,8,4,3
0.08896136394892709,299,213,139,61,32,15,9,6,3,0
0.10001963151170894,303,226,148,82,43,16,6,3,3,2
0.1022253840869994,299,223,146,76,38,22,10,6,3,2
0.11181423248653792,299,209,142,79,47,31,19,9,5,5
0.0926836254578389,299,207,132,68,30,14,5,3,3,3
0.09467723781140837,297,222,143,79,38,15,7,3,2,2
0.09675260224149522,306,219,149,83,38,18,6,3,2,0
0.09271755969214986,302,217,148,68,31,10,5,3,3,2
0.09919724126691516,305,214,134,63,30,20,13,9,5,4
0.1028950747928772,310,220,144,68,44,25,13,7,3,2
0.087181057049313,300,202,124,65,30,11,6,4,4,3
0.10502099993876594,295,207,138,79,49,23,12,6,5,3
0.0952493787285774,313,215,135,72,35,20,9,4,3,3
0.1180919225269332,316,238,155,82,49,25,14,10,6,4
0.08902926035452469,306,218,129,66,30,13,8,3,3,2
0.09853727008380588,305,209,135,75,37,17,8,5,3,2
0.10989560800702462,305,211,142,82,45,20,14,5,5,4
