mse,ep1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10
0.08600913311280946,146,102,60,31,16,8,4,3,2,2
0.12459066713928976,149,110,73,38,24,16,7,3,2,2
0.0838450785694143,146,101,60,33,19,12,3,2,2,2
0.07265500160938912,156,107,75,38,15,4,2,2,1,1
0.1053665165140732,145,100,57,32,19,10,5,2,2,2
0.09416448601838519,156,108,66,37,24,13,6,5,4,2
0.09350674488253412,148,103,71,32,20,8,6,2,2,2
0.08547806994381625,146,108,59,31,16,5,4,2,0,0
0.11413106368134988,149,111,78,42,20,12,6,3,2,2
0.10125857537294468,160,113,69,41,26,12,7,2,1,0
0.08419801287875045,149,107,68,31,20,11,4,3,2,2
0.0871585667093891,152,110,68,33,16,9,7,2,1,0
0.08266038452095828,152,111,68,37,20,10,4,2,0,0
0.07778075855466826,150,111,73,36,16,5,3,1,0,0
0.09698129405853408,153,107,71,37,22,8,6,2,1,1
0.07102664161058939,150,99,66,25,11,7,1,1,1,1
0.08906099917178376,152,105,63,32,18,8,3,3,3,1
0.08687602973494116,147,102,69,31,14,6,2,1,1,1
0.09058339798449236,162,107,64,37,21,7,5,4,2,1
0.08807938896302825,151,104,63,33,16,9,3,0,0,0
0.10148807866813313,152,111,66,39,19,12,5,0,0,0
0.09529040580306049,157,108,73,33,19,10,5,2,2,1
0.07680646168313371,144,96,58,28,9,4,1,1,1,1
0.09460022509638867,151,98,65,38,24,12,4,2,2,1
0.10957954900110786,156,115,84,47,24,7,3,2,2,2
0.10285525610631799,150,111,79,38,17,10,9,7,3,3
0.079519565531272,153,109,72,32,9,7,5,4,2,0
0.10668490013432468,158,116,81,46,31,13,5,1,1,0
0.12784998360607433,148,114,77,51,27,14,7,5,4,3
0.10205799464707181,148,106,71,45,30,14,8,2,1,0
