MSE,eps1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10
0.0905317180552717,81,59,40,28,13,7,4,3,2,1
0.09933276424097555,81,58,41,22,7,3,0,0,0,0
0.06609047576704398,69,47,33,15,9,4,0,0,0,0
0.09412635856038137,80,64,40,17,7,5,4,1,0,0
0.07986614788863577,74,52,31,17,8,2,2,2,2,2
0.07085061528781561,66,44,31,15,9,1,1,0,0,0
0.1333079460712701,79,51,34,24,13,5,4,1,0,0
0.0887565238012038,70,53,32,15,6,4,2,0,0,0
0.06671108337318199,80,51,36,8,5,3,2,0,0,0
0.09195120497295155,76,59,39,20,11,4,3,2,1,1
0.07821779716989115,78,57,36,14,10,3,1,0,0,0
0.1248069698636911,77,57,41,24,14,7,5,3,3,2
0.11247243785063708,78,53,36,19,12,7,6,2,2,2
0.08155225048845977,74,61,37,19,6,4,2,1,1,1
0.09276063714220605,77,53,31,14,9,6,4,1,1,1
0.08640118288473725,76,50,35,18,8,4,4,1,1,0
0.09367874848054504,81,59,34,18,6,3,1,0,0,0
0.08878301630907223,73,48,30,16,8,2,2,1,1,0
0.0887267340793175,70,49,37,23,15,5,2,1,1,1
0.11067640469437597,72,51,38,17,9,5,3,1,0,0
0.10027213920170523,78,54,35,19,12,5,2,2,2,1
0.09192951214082085,74,53,31,19,9,5,2,0,0,0
0.08050328674292814,74,54,34,17,6,3,0,0,0,0
0.13143671536044446,71,49,34,17,7,4,2,2,2,1
0.11672815406607126,81,61,38,20,8,5,3,2,1,0
0.10630681066995995,82,52,35,25,14,8,2,0,0,0
0.07059319892618214,72,55,35,15,9,2,1,1,1,1
0.07328462555563763,75,50,34,12,5,1,1,0,0,0
0.10199264377362104,76,55,39,18,15,4,1,1,0,0
0.08373984387687752,69,52,34,14,4,2,0,0,0,0
