accuracy,failures
0.5146411909129259,194
0.5190523148890919,192
0.4474643022663631,221
0.5244292299147776,190
0.4962262926507279,201
0.5078124499550473,196
0.46461488084011726,214
0.5097724669196616,196
0.49836160968774523,200
0.5037812849504596,198
0.5525415912943651,178
0.49645936325384293,201
0.5207953538367796,191
0.4934328036623846,202
0.521439785442564,191
0.5167861389865621,193
0.4099904461380747,236
0.49483682425834813,202
0.5301915409683525,187
0.5646383365940872,174
0.4959953137106601,201
0.5129334893069969,194
0.5344964661194476,186
0.46281833476938455,214
0.5158855346490065,193
0.46758534273631425,212
0.507482311261058,197
0.5009544066531239,199
0.5140492367340045,194
0.47060017058796955,211
