accuracy,failures
0.5565899503480751,177
0.5521878618790748,179
0.5468172251805725,181
0.5865365799744097,165
0.529031903541983,188
0.4828893690128281,206
0.5955144740192818,161
0.5284115147594561,188
0.5320630595978804,187
0.5611329867988565,175
0.5673740030105467,173
0.5435068664871282,182
0.5412490278384535,183
0.5473408661175563,181
0.5866373319931262,165
0.562098683448781,175
0.5639197108679963,174
0.5616037386445322,175
0.5617619631482705,175
0.5642868847755599,174
0.555849839598648,177
0.532785341522421,186
0.5716423568559648,171
0.5279733782431463,188
0.5216873554434118,191
0.5365983372573649,185
0.533015820319051,186
0.5859740254406502,165
0.5882077231908351,164
0.5721652804741459,171
