accuracy,failures
0.5392725870078868,184
0.5539584631443588,178
0.537597318395968,184
0.5383902580190087,184
0.5495586748305875,180
0.48228719553075494,207
0.5652170416772384,173
0.5486372173099325,180
0.5531813737237815,178
0.547328461694824,181
0.5808821225227921,167
0.5958460585437383,161
0.5773257342872753,169
0.5229769219111858,190
0.5450588031329284,181
0.5259934121695414,189
0.5503133747907133,179
0.5129424449334432,194
0.5516046515686721,179
0.5565092275395621,177
0.549085696209894,180
0.5869558437124986,165
0.5467657721807072,181
0.5140398633401572,194
0.45778835443586297,216
0.49700908015797607,201
0.5533766941050134,178
0.5514275754492048,179
0.56661055450061,173
0.5636961579706196,174
