accuracy,failures
0.4864242627987387,25
0.42626772310786804,28
0.5984632127909321,20
0.549024024584845,22
0.6241517525404202,18
0.6805458638527171,15
0.5733971707695439,21
0.6142568184449173,19
0.5666838582616044,21
0.5616654246009989,21
0.4345661532109208,28
0.5395943024552357,23
0.44293051655328525,27
0.5917246605966257,20
0.5843199793423488,20
0.568382900623255,21
0.5075918226661242,24
0.5825045050487163,20
0.7547218194671136,12
0.49313700346170053,25
0.6577598923738707,17
0.4770887011985896,26
0.44861585720269465,27
0.6336625485234181,18
0.5777180303113434,21
0.4920732490739589,25
0.5101154838974699,24
0.634530099966272,18
0.5790235494971347,21
0.596298292049635,20
