accuracy,failures
0.5268270976987723,23
0.5460576591445065,22
0.3882845854104284,30
0.4826220086790205,25
0.49375441793972974,25
0.4958413047233888,25
0.5600210100009057,21
0.4691701854593396,26
0.4586548920051567,27
0.6427450731897456,17
0.5060221496417866,24
0.5410755621884072,22
0.4667461926524749,26
0.6471062273807872,17
0.5005807047811728,24
0.4539756170141597,27
0.6271661001309501,18
0.6745383797271945,16
0.5664257315266514,21
0.4537542527649974,27
0.5076715535586032,24
0.4890182153993974,25
0.48681756436868895,25
0.43961358015487173,28
0.40180834159229384,29
0.5150985042072296,24
0.5269271867767346,23
0.5514224549608936,22
0.5065051781249299,24
0.5826870779056346,20
