accuracy,failures
0.5864731523540698,82
0.5816077611511586,83
0.5109404001076936,97
0.5266228721436348,94
0.5659067944008193,86
0.5763407465417536,84
0.6149271210550421,77
0.62877708259547,74
0.5196729907675248,96
0.5386269274781315,92
0.5141937473487551,97
0.5488570150572324,90
0.5623955540806171,87
0.547014218402468,90
0.5784036441857076,84
0.5803295903762231,83
0.5380154512895493,92
0.5394754609606278,92
0.48817047100115024,102
0.5745901659774043,85
0.5390023732719963,92
0.6180543707957872,76
0.5315217609780574,93
0.5964897600143613,80
0.5350890651947782,92
0.5621597488192003,87
0.5647259812500335,87
0.5265440434497105,94
0.5769460322856738,84
0.5015395927189743,99
