accuracy,failures
0.8928205113595993,33.0
0.922093242784749,27.0
0.8860711223672375,31.0
0.9310599311132561,26.0
0.8563677874781452,38.0
0.9007360274669927,30.0
0.9382901365676599,27.0
0.9383946800894915,25.0
0.9046683065519012,27.0
0.8898292070942182,32.0
0.9046236596261493,24.0
0.8953408918557555,29.0
0.898120948631677,32.0
0.9289103785849941,21.0
0.905832402711851,27.0
0.9165112104055116,26.0
0.9072109455440365,28.0
0.888587432534678,34.0
0.8956110481664172,34.0
0.9292140905456869,26.0
0.9017799848179496,29.0
0.8924198847084079,34.0
0.9537685725498808,19.0
0.9385352931741792,22.0
0.8943558397792074,36.0
0.8891930148879784,36.0
0.9411873793388318,18.0
0.8986069995603618,30.0
0.8814973272673144,30.0
0.9056816847523922,28.0
