accuracy,failures
0.8988680427225864,116
0.9028210379090411,121
0.8951373128306366,128
0.9175152021612991,117
0.8975004182665121,126
0.8895690339112894,117
0.8824347586397003,121
0.9136903395175768,119
0.9044915775307224,122
0.9274838468799868,113
0.8972566761907377,130
0.904035173543224,119
0.8982650390333213,116
0.8910786038859401,127
0.8986033271502338,127
0.9086080357821039,124
0.9122242544922395,126
0.8821869348981575,124
0.919439597801444,110
0.8974635932697679,126
0.9150881451566418,113
0.8949627937330954,122
0.895401816908987,128
0.9200952318180416,120
0.8922510891257329,125
0.9091163759440877,120
0.8827667645682148,127
0.8978267508394256,115
0.896244010574275,112
0.9157237224164932,122
