accuracy,failures
0.9392181698586968,46
0.9347327983571433,43
0.8953266074780504,50
0.9327099389412226,44
0.9060610236417572,54
0.9166928351849433,50
0.9182090330065551,49
0.9312324710535675,48
0.9247405153851863,51
0.9196037722651415,45
0.9352478169793855,47
0.8805006355887369,60
0.9320331983118028,48
0.9291798396527495,49
0.9003175481266406,57
0.9402374567602313,41
0.9155129332079097,51
0.9332579693630784,47
0.8828475951279431,51
0.9220169235301074,48
0.9059089452435365,50
0.9239849862022882,47
0.9325815560719645,48
0.9137634454755631,52
0.9429147079657618,44
0.9222644847551034,52
0.8888224133195747,53
0.9227195848438138,48
0.9284894228381814,50
0.9118974713749637,52
