accuracy,failures
0.9750954166187767,16
0.7500337348843585,21
0.8637791956853635,23
0.8733820411279137,18
0.8748687550105333,18
0.9593933894552129,24
0.7722431528827582,19
0.8734052357111286,17
0.7695837315992764,21
0.9699739964549573,18
0.8657563940182591,23
0.9718942714805131,17
0.9624360494925249,20
0.9841415631156696,9
0.7746591864105355,18
0.9684749121762812,19
0.9710992984873658,18
0.7722967828888291,18
0.8734925019782094,16
0.9751971369475854,16
0.8767602495950426,15
0.8733914962573506,18
0.9607100714569724,24
0.9643025096242391,20
0.9707036214650866,17
0.8500025689869565,21
0.868848617798176,20
0.8540458183027116,17
0.9703915792579599,17
0.9706795904176081,16
