accuracy,failures
0.8950864999999999,21
0.8749095000000001,25
0.8799638000000001,24
0.8798983999999999,24
0.8750447000000001,25
0.8850278999999999,23
0.9199800000000001,16
0.8849289,23
0.8849633,23
0.8999100000000001,20
0.9049569,19
0.9050281,19
0.8500168,30
0.9000803999999999,20
0.880023,24
0.9149921000000002,17
0.8700036000000001,26
0.9000568,20
0.8950769,21
0.9050547,19
0.8799874,24
0.9199492000000001,16
0.8949147000000004,21
0.869996,26
0.9149851,17
0.8451552999999998,31
0.9099921999999999,18
0.8750087,25
0.9200599999999999,16
0.8798896,24
