accuracy,failures
0.8969106021458445,43
0.8950388785136384,44
0.9105749469789803,37
0.9156282332321555,35
0.894784837069643,44
0.9083410733180403,38
0.9039909659064432,40
0.9042784389180338,40
0.9128234659457239,36
0.89957249685487,42
0.9127298759724861,36
0.9131176785628949,36
0.9034628041571422,40
0.8927005188876871,45
0.9004006568022651,38
0.8998198611414044,42
0.8971980491593091,43
0.8975591270730611,43
0.9059881951127111,39
0.910768826439764,37
0.9040578093715922,40
0.8962463516716954,40
0.9156015047904102,35
0.9000137897016387,42
0.9014534734097206,41
0.897291643584234,43
0.9108624354016959,37
0.8909317463047232,46
0.9063893436452892,39
0.9018278493837966,41
