accuracy,failures
0.9288197189196123,52
0.9276375518417544,52
0.9295687319490381,47
0.911436169627229,60
0.9307714825739832,47
0.9286124684548077,48
0.930044478493752,43
0.900225256940438,56
0.9267892630668704,49
0.9319730295425519,51
0.9002041344241448,51
0.9321700031167823,50
0.9436439551008846,46
0.894081878066298,58
0.9236170475876999,50
0.8949769928233079,53
0.918307740198687,52
0.9050948936171981,57
0.9437503364712516,46
0.951962845484834,42
0.9297012923373701,52
0.9078982140846069,60
0.9226317731034865,51
0.9048037612923167,53
0.9267855334050937,51
0.9434163606678106,45
0.9068504125392067,57
0.9115862211568649,51
0.9212580206143425,55
0.9171872194806009,49
