accuracy,failures
0.7839327184190483,42
-0.10114111917721114,41
0.6843420332265786,42
0.567393996388481,45
0.48894045345629267,40
0.6694615186762899,41
0.6912671417006401,41
0.6594688605777572,45
0.6704130129862176,42
0.39737832349690794,36
0.49217635775169355,40
0.6050750991459477,37
0.1889447168306435,40
0.49346254310256665,43
0.3833647634454106,41
0.47115437456066456,43
0.6715927238599793,41
0.7730934641871331,42
0.2033065470027361,40
0.28991409985059635,41
0.5737491680592663,41
0.7617796758367148,43
0.46517154835814223,45
0.6714549889522379,38
0.70396615605762,38
0.4877998912023904,40
0.49530922512891284,42
0.5896708804236395,40
0.20407621818036925,39
0.5833181951164185,39
