accuracy,failures
0.5035246979324941,347
0.4904971251722301,350
0.5061730353956021,350
0.5013363267698888,350
0.5013336461270415,343
0.5082722971466036,353
0.4953132953566989,358
0.5201588133535644,339
0.503495016614686,350
0.5084535519778518,349
0.4884990278112915,361
0.49955741668927756,353
0.5050561318610762,344
0.5062438407678912,356
0.49275014507131265,353
0.5044217464575611,344
0.48684527842630243,354
0.4996143123443847,353
0.48887559988950147,363
0.5020274359554643,351
0.5035820303834659,352
0.5019521137287579,351
0.5019146819098464,362
0.498014034770501,355
0.4865088231995497,346
0.49995748703821796,354
0.48395425076061693,356
0.5178894903932257,347
0.48803068374269076,355
0.4948775020081476,354
