accuracy,failures
0.9013137712570857,1
0.8010270090030011,2
0.9002334111370457,1
1.0,0
0.9010336778926309,1
0.8999133044348117,1
0.8997932644214739,1
0.900273424474825,1
0.8030676892297433,2
1.0,0
0.9015938646215405,1
0.9001933977992664,1
0.880866955651884,2
0.8013071023674558,2
0.9007935978659554,1
0.7029409803267755,3
1.0,0
0.9015938646215405,1
0.8006668889629878,2
0.9008736245415139,1
0.9005135045015005,1
0.9009936645548516,1
0.9005535178392798,1
0.8000666888962988,2
0.8017072357452485,2
0.8020673557852618,2
0.9009136378792931,1
0.8998732910970324,1
0.8011870623541181,2
0.802267422474158,2
