accuracy,failures
0.9504450549450549,1
0.9519945054945055,1
0.8046813186813184,4
0.9504120879120879,1
0.9501813186813187,1
0.853543956043956,3
0.9028351648351648,2
0.8539395604395602,3
1.0,0
0.8517637362637358,3
0.9507417582417582,1
1.0,0
0.9026373626373626,2
0.9511373626373626,1
0.9523571428571429,1
1.0,0
1.0,0
0.9499175824175824,1
0.9033296703296703,2
0.9519945054945055,1
0.8997362637362637,2
0.8531483516483513,3
0.9509065934065934,1
0.9031648351648351,2
0.9021428571428571,2
0.9001978021978022,2
0.9033956043956044,2
1.0,0
0.8543351648351648,3
0.949489010989011,1
