accuracy,failures
0.5168965517241376,24
0.5622758620689656,22
0.5580344827586207,22
0.35913793103448244,32
0.48010344827586204,26
0.4594999999999999,27
0.4587068965517239,27
0.5021551724137931,25
0.557896551724138,22
0.4795862068965516,26
0.5006379310344826,25
0.44231034482758624,28
0.5601724137931035,22
0.5588620689655174,22
0.6397241379310346,18
0.47531034482758594,26
0.4381379310344825,28
0.5012931034482759,25
0.4994310344827585,25
0.5412241379310345,23
0.5004310344827587,25
0.5605862068965517,22
0.43968965517241354,28
0.6214655172413792,19
0.5790517241379312,21
0.5992068965517239,20
0.4595344827586205,27
0.5153448275862065,24
0.5203793103448274,24
0.5400862068965517,23
