accuracy,failures
0.9067480826942311,75
0.8985986995665222,79
0.8955826942314102,84
0.8864771590530176,92
0.8890538512837618,87
0.898704568189397,82
0.9055485161720574,76
0.9046698899633209,76
0.8949958319439811,83
0.8989988329443146,79
0.8992705901967326,79
0.9026450483494496,76
0.919658219406469,64
0.907791763921307,75
0.8979693231077028,81
0.9072582527509169,74
0.8978976325441816,81
0.8961153717905974,84
0.9103784594864953,73
0.9094398132710906,72
0.905586862287429,75
0.8882585861953987,90
0.8915388462820942,87
0.9122082360786931,69
0.9025408469489832,77
0.8943739579859953,85
0.8926317105701898,87
0.8985903634544847,80
0.906614704901634,74
0.9057060686895626,76
