accuracy,failures
0.9183351648351645,16
0.9068653846153845,19
0.9197197802197801,16
0.894436813186813,21
0.9381538461538461,12
0.9404560439560438,12
0.9381978021978019,12
0.9188626373626372,16
0.9441291208791208,11
0.9400934065934065,12
0.9081923076923075,18
0.9157884615384614,17
0.9104340659340656,18
0.9151840659340656,17
0.9498351648351648,10
0.9107857142857141,18
0.9283131868131868,14
0.8942967032967033,22
0.9310494505494504,14
0.9504120879120879,10
0.9358489010989008,13
0.9040906593406592,19
0.9268763736263734,15
0.9204670329670329,16
0.8878461538461537,22
0.9141181318681318,17
0.9047664835164835,19
0.9605714285714286,8
0.9264642857142856,15
0.9334752747252744,13
