accuracy,failures
0.9189198433334707,38
0.9204791127004573,36
0.9725406677068581,32
0.8701281936884402,38
0.9178816762368035,38
0.9138444981176557,43
0.7599281109623648,44
0.8257561865945278,37
0.9192605053194695,38
0.8693138995032823,39
0.9184890940762271,39
0.978170710616532,27
0.8252279715407714,33
0.9275377020436794,28
0.8729400028630354,39
0.9131707689330705,42
0.9190705480403728,39
0.8685785833469266,43
0.9686073386868921,36
0.970587162185659,36
0.9255994149515028,30
0.9099511092932192,38
0.8261338689708758,34
0.914850401690908,43
0.9183949066830203,39
0.9204695771651095,39
0.8684968060738949,39
0.9697227379234528,35
0.8203766784167217,39
0.8249299804334538,35
