accuracy,failures
0.6102758620689652,4
0.38898275862068876,7
0.39239655172413723,7
0.48589655172413715,6
0.5827068965517235,5
0.48610344827586127,6
0.4050689655172405,6
0.3900172413793096,7
0.5137758620689651,5
0.5067413793103442,5
0.6079999999999997,4
0.4049655172413784,6
0.19505172413793015,9
0.4894137931034477,6
1.0,0
0.9004999999999999,1
0.5817758620689648,5
0.9791551724137931,1
0.5869482758620683,5
0.8038965517241378,2
0.21910344827586137,8
0.29248275862068895,8
0.39353448275862,7
0.41458620689655123,6
0.3167413793103442,7
0.784810344827586,3
0.687172413793103,4
0.6063448275862064,4
0.6093448275862066,4
0.19618965517241294,9
