accuracy,failures
0.8911821862706879,331
0.8907576569237837,332
0.8784123205494954,323
0.8931572983274844,322
0.8949954792585333,319
0.8873633441186476,336
0.8927925498406576,326
0.8917479142478714,326
0.8931706860976529,325
0.8924699077662588,327
0.8747565463491203,339
0.8921772731598853,328
0.8841036223956195,315
0.892447683532227,327
0.8949456959130166,316
0.8921581498352735,325
0.8893276775333521,334
0.8892337536280774,337
0.8912492150529838,324
0.8897349648617129,333
0.891414967670189,327
0.8897724219459056,334
0.8876708019203547,335
0.8914336607531225,330
0.8924042412676061,327
0.8923417382021295,327
0.8934240690599524,324
0.8885271261586504,339
0.8889067503490372,338
0.8927434901206304,326
