accuracy,failures
0.8984686333724466,165
0.9110807466445436,154
0.8732421808095588,159
0.9250907875764447,147
0.8866003542395002,161
0.8957847302967726,173
0.8984310788350502,158
0.9247312792217695,154
0.9211853380814827,168
0.8406665112851179,145
0.937086246503885,151
0.9100476377056326,155
0.9109893573639437,161
0.8883996461268358,153
0.8368634682787408,158
0.9062902576974469,175
0.9391234406666435,144
0.8871124109194697,154
0.9408662178537924,135
0.8623342317507248,156
0.9120134748745287,151
0.9017855048671537,148
0.9111931350446402,155
0.9507127167071343,140
0.8362711512048362,154
0.9127567513048729,154
0.836725939740207,165
0.883299870081966,166
0.9383231028820477,149
0.8367391880402097,155
