accuracy,failures
0.9000614000000003,4
0.8753313,5
0.9501089999999999,2
0.9200902,4
0.9251088999999999,3
0.9500459999999998,2
0.9250291000000002,3
0.82016,8
0.9251166999999999,3
0.9750970999999999,1
0.9750178999999999,1
0.8752479,5
1.0,0
0.9251077000000001,3
0.9750989,1
0.9500861999999999,2
0.7702456000000002,10
0.8702369999999999,6
0.8750559,5
0.8752593,5
0.8502064,6
0.9750502999999999,1
0.9002149999999998,4
0.9501245999999999,2
0.9251269,3
0.7004362000000003,12
0.9251448999999998,3
0.8501440000000003,6
0.9500183999999998,2
0.8750703,5
