mse,ep1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10
0.08832715249250665,298,202,122,59,33,17,6,4,1,0
0.1040274162118724,313,233,157,78,42,22,9,4,2,0
0.09517404261481885,296,214,137,74,30,14,6,2,2,2
0.09042750821576484,305,214,130,63,27,12,6,3,3,3
0.09750360659843321,318,217,136,68,43,27,10,4,2,1
0.08392128696852827,315,212,132,58,29,12,4,2,2,1
0.08852258403793807,315,213,127,62,33,16,8,3,1,1
0.10950180240987106,304,222,156,85,37,19,11,7,5,4
0.0952884321616441,306,204,133,56,26,15,10,6,4,3
0.08600676274023408,314,213,134,68,34,8,3,2,2,1
0.10199536787875756,305,221,139,74,46,23,7,5,3,2
0.09158592902325202,289,213,143,73,32,21,7,2,1,0
0.09340336092793831,300,222,136,64,37,21,8,3,2,0
0.0883939838967739,313,195,135,68,35,12,4,3,1,1
0.10418130536097514,308,227,144,78,42,21,9,5,3,3
0.09348951362205458,299,208,133,69,40,17,10,5,3,2
0.09318765277524223,301,210,129,55,32,18,7,2,2,1
0.09484935968776438,324,212,137,75,35,22,6,1,0,0
0.09026257427733975,319,220,135,60,28,9,5,2,2,2
0.09032597091878047,299,205,116,68,33,15,8,4,1,1
0.09495307227037673,311,209,140,64,36,17,6,3,2,2
0.10126381213615727,306,212,146,75,39,19,11,3,2,2
0.09473028250407381,305,206,132,57,36,17,11,5,4,1
0.1093597088098968,300,219,153,88,43,19,9,6,4,2
0.07955516828637813,304,203,133,56,24,7,1,1,1,0
0.08686513638155216,305,213,112,62,35,15,4,2,1,1
0.09462660815488279,296,210,141,70,37,20,4,2,1,1
0.09026589586671598,298,213,134,61,36,20,7,3,2,0
0.09876395131327277,299,208,142,72,37,13,10,7,5,3
0.08752709072593547,294,208,136,69,40,16,7,4,1,0
