mse,ep1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10
0.09841467668149244,78,49,40,20,10,5,1,1,0,0
0.0953339628596839,76,50,30,16,10,6,4,2,0,0
0.09245513127369483,81,53,35,19,10,7,2,1,1,1
0.12334940806322688,78,60,38,23,14,9,5,2,1,0
0.09399955638581194,78,52,31,14,10,6,2,2,1,1
0.10964568361312674,81,60,37,24,14,4,2,1,1,1
0.11788130847690283,84,65,45,18,12,8,4,1,0,0
0.09806691514328439,77,55,39,18,9,6,1,1,0,0
0.10725434639889639,77,54,39,17,13,9,4,1,0,0
0.08387236331544151,76,58,36,17,8,1,0,0,0,0
0.08875065424034316,72,48,29,17,11,6,3,1,0,0
0.11881243051178256,87,62,43,22,14,6,2,2,1,1
0.0843798419033084,77,53,33,11,8,4,2,0,0,0
0.09031802468576816,71,45,34,18,11,6,3,1,1,0
0.09858637187531083,72,50,30,17,9,5,3,2,2,1
0.11142520246667667,78,54,37,19,11,7,5,2,1,0
0.10304266690552505,76,52,38,22,13,6,2,1,1,1
0.11251168888881521,78,54,36,19,13,7,4,2,0,0
0.10799377113949178,77,52,40,22,14,6,4,2,0,0
0.09439139606739548,74,50,33,17,11,7,1,0,0,0
0.09628000672811221,69,53,34,18,13,6,3,1,0,0
0.10468500215066827,85,64,32,17,13,5,3,0,0,0
0.08221124003063428,70,48,30,13,7,1,1,1,1,0
0.06858338422009838,73,53,25,10,6,2,2,0,0,0
0.09179370551276371,70,49,34,19,14,4,1,0,0,0
0.09175746107709896,78,48,34,19,8,3,2,1,1,0
0.08879902172144315,75,51,33,18,13,4,1,1,0,0
0.08241469751191702,76,55,35,16,6,3,2,1,0,0
0.10439563700159513,78,56,37,16,12,6,3,1,0,0
0.11212714845276354,78,61,44,20,11,5,2,2,0,0
