mse,ep1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10
0.09118173723056897,76,49,29,11,6,4,3,2,1,0
0.08097541971123141,78,57,28,18,8,4,2,1,0,0
0.11269918596889339,83,61,37,15,9,4,1,1,1,1
0.08016098799314836,69,49,29,15,10,4,2,0,0,0
0.1264161984485311,87,64,32,16,10,6,5,2,1,1
0.10851641834862542,88,60,39,18,9,5,2,1,1,0
0.11848727051287454,77,58,41,22,13,8,4,2,2,1
0.07580129435609467,77,52,33,17,8,4,1,1,1,0
0.07507218717711084,71,52,40,14,6,5,1,0,0,0
0.09276968462443345,71,54,34,19,9,2,1,1,1,1
0.09989385175705139,73,50,33,14,9,7,2,2,1,0
0.0705436496164382,80,51,35,18,6,3,1,0,0,0
0.09028134856728977,70,51,35,20,11,3,2,0,0,0
0.07749356487767672,80,51,32,12,8,4,1,0,0,0
0.11853002221775759,75,55,39,17,8,5,2,1,1,1
0.11363737066982255,78,55,37,18,11,7,3,2,1,1
0.08590101011288385,76,55,40,14,8,3,2,1,0,0
0.1673753285736535,74,51,32,17,11,5,3,3,3,3
0.10996784547828567,81,64,37,19,9,4,2,2,2,1
0.06035205044776678,72,52,29,14,6,2,0,0,0,0
0.11493890613522013,81,56,33,18,14,8,3,2,1,1
0.08379891812430347,72,52,32,15,7,5,4,2,1,0
0.09791214983452205,77,52,37,20,8,4,2,1,1,1
0.07517374168521582,72,46,29,14,5,2,0,0,0,0
0.07274790123379223,66,44,22,9,7,2,1,1,1,1
0.11174789427595481,79,54,36,17,9,6,2,1,0,0
0.0947513943902727,77,57,38,20,9,3,3,2,1,0
0.09903139356638176,83,58,37,16,6,4,2,1,1,1
0.10605606697843825,76,54,38,20,11,7,4,1,1,0
0.12651389759068224,70,45,31,16,10,8,5,2,1,1
