mse,ep1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10
0.11091595061795385,39,27,17,8,5,5,4,3,1,0
0.09434131650763022,36,28,16,7,6,2,1,1,1,1
0.05236546267480581,34,23,12,8,2,1,0,0,0,0
0.04173725745510776,35,26,14,3,2,0,0,0,0,0
0.0588188375634842,38,25,13,6,5,2,0,0,0,0
0.10069830432778573,38,23,17,9,6,3,2,2,1,1
0.07485464478364205,34,23,17,10,5,3,1,0,0,0
0.10181696245959586,35,24,16,9,5,4,2,1,1,1
0.07629117555603458,37,29,16,9,7,2,0,0,0,0
0.10224293090469865,42,25,17,8,5,2,2,2,2,0
0.05982495651316278,37,27,15,6,4,1,0,0,0,0
0.04466880545360598,33,23,16,7,3,0,0,0,0,0
0.07527281537473901,40,30,23,10,3,1,0,0,0,0
0.049997802525820756,40,25,16,7,2,0,0,0,0,0
0.07458826014313247,44,29,20,8,4,1,0,0,0,0
0.07295274383125164,34,25,13,9,5,2,1,0,0,0
0.08456370642946359,39,24,20,12,5,3,1,0,0,0
0.08185321362781763,34,24,16,7,3,2,1,1,1,1
0.042392952907723526,38,29,17,4,2,1,1,0,0,0
0.06531590855806105,32,23,12,8,5,3,1,1,1,1
0.07290402422166943,38,25,17,9,7,3,2,0,0,0
0.05437129613403817,30,22,16,4,2,2,1,0,0,0
0.10117895722508673,34,28,22,12,8,4,1,1,1,0
0.06642587764402436,36,27,18,9,4,3,1,0,0,0
0.11319568698517715,36,25,13,7,4,4,3,3,2,1
0.060072521873609744,37,24,14,9,3,3,0,0,0,0
0.08217925322043544,41,33,23,7,3,0,0,0,0,0
0.057637328392272126,39,28,15,7,3,2,1,0,0,0
0.08755198022280798,38,27,14,10,7,4,1,0,0,0
0.04280903704246977,36,20,14,6,2,0,0,0,0,0
